CUSTOMERKEY,GENDER,NAME,CITY,STATE_CODE,STATE,COUNTRY,CONTINENT,BIRTHDAY
7725,FEMALE,ANNA PRERAUER,CURRIMUNDI,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1968-01-06
7783,FEMALE,CHARLI GULLETT,MOUNT WALLACE,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1961-08-13
8098,FEMALE,ALANA BELT,SOUTH GREENOUGH,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1967-01-26
8181,FEMALE,AMELIE NAIRN,DARTMOUTH,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1985-07-08
8220,MALE,DAVID BLANCH,VISTA,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1945-07-29
8789,FEMALE,LAYLA MACKELLAR,KALKARINDJI,NT,NORTHERN TERRITORY,AUSTRALIA,AUSTRALIA,1999-07-13
8794,FEMALE,ABBEY LEMPRIERE,BOULDER CREEK,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1962-11-02
8945,FEMALE,SUMMER MACMAHON,WARUMBUL,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1939-06-28
9167,MALE,LUKE BUSHBY,PARACOMBE,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1975-12-02
9184,MALE,SAM ZIMPEL,CORUNNUN,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1964-11-24
9360,MALE,MITCHELL ADAM,MOPARRABAH,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1955-01-30
9370,FEMALE,RUBY LOCK,COOK,ACT,AUSTRALIAN CAPITAL TERRITORY,AUSTRALIA,AUSTRALIA,1953-05-26
9389,FEMALE,ELIZA BROPHY,YEARINAN,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1956-04-08
9456,MALE,RYDER ABDULLAH,CLAREDALE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1941-05-21
9812,FEMALE,KAITLYN MORSHEAD,MINJARY,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1953-01-23
9915,FEMALE,EBONY BUXTON,SEPPINGS,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1991-11-10
10039,FEMALE,BRIANNA HANN,NIKENBAH,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1947-10-22
10189,FEMALE,ALEXIS BIRCHELL,FOREST REEFS,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1962-04-07
10276,MALE,ANGUS BARDOLPH,BATEAU BAY,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1972-11-01
10299,MALE,ANTHONY MACVITIE,BEELBANGERA,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1937-05-27
10332,MALE,JAMES BURNAGE,PALMYRA,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1937-03-26
10393,MALE,NICHOLAS MONCRIEFF,ROSENTHAL HEIGHTS,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1981-11-29
10395,MALE,CAMERON DILLON,STRATHERNE,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1996-02-25
10481,FEMALE,PIPER MAUDSLEY,CELLS RIVER,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1977-04-17
10504,MALE,DANIEL RUSCONI,SOUTH DATATINE,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1980-10-22
10717,MALE,HARRISON INGRAM,MAYA,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1981-06-16
11035,FEMALE,MAKAYLA MELDRUM,KINGS FOREST,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1939-12-08
11090,FEMALE,SCARLETT SCOLLEN,SILVERWATER,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1953-01-20
11587,MALE,ANDREW FENBURY,YORK,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1977-11-09
11736,FEMALE,SUMMER BROWNRIGG,YARRABILBA,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1991-01-22
12084,MALE,TOBY CHAUVEL,GALGA,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1958-07-20
12160,MALE,JETT CREAL,OAKHURST,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1956-09-05
12162,FEMALE,EVA LAVARACK,WHITTINGTON,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1954-07-30
12207,MALE,AIDEN JULL,OGMORE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1955-11-30
12256,FEMALE,LILLY LYNN,ROTHBURY,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1991-03-07
12365,FEMALE,NATALIE LYON,STEEPLE FLAT,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1958-04-06
12385,FEMALE,LILY GRIBBLE,OVERLAND CORNER,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1981-06-10
12392,FEMALE,LAURA WATERHOUSE,GREENHILL,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1957-03-08
12649,FEMALE,ROSE RAVEN,NOBLE PARK NORTH,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1965-12-11
12729,MALE,XAVIER STURDEE,STANNUM,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1937-10-14
12810,MALE,PATRICK NEWBIGIN,DEER PARK,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1957-06-24
12859,MALE,KOBY RAYMENT,NABAWA,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1942-04-29
12868,MALE,NATHAN GREVILLE,MALLALA,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1961-03-12
13045,FEMALE,ABBEY STORKEY,BLUE MOUNTAIN HEIGHTS,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1957-10-19
13071,FEMALE,CLAUDIA FULLER,CUBALLING,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1973-06-28
13232,FEMALE,MAYA COATES,UNLEY BC,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1985-08-12
13365,MALE,MITCHELL CUTLACK,MOONEM,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1961-01-02
13607,FEMALE,GEMMA MAUM,MAMBRAY CREEK,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1954-09-21
14069,MALE,JACOB GAIRDNER,ROB ROY,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1949-05-24
14180,FEMALE,AVA LOCKYER,KALGOORLIE,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1998-05-14
14275,FEMALE,DAKOTA DUNSHEA,BENTLEY,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1979-05-02
14906,FEMALE,GRACE HOUGHTON,BOYER,TAS,TASMANIA,AUSTRALIA,AUSTRALIA,1982-11-16
14962,FEMALE,MACKENZIE NEWELL,CRESTWOOD,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1936-04-05
14988,FEMALE,EMILY THIRKELL,WYNDHAM VALE,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1958-07-24
15109,FEMALE,SARA MARSDEN,WHALE BEACH,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1999-08-18
15385,MALE,HARRY MORGANS,DOONGIN,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1995-05-11
15391,FEMALE,ELIZABETH HORSLEY,MARRAWEENEY,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1989-01-25
15569,FEMALE,CHELSEA WEEKES,COLAC,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1983-09-08
15718,FEMALE,NATALIE TENNANT,DAKENBA,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1957-02-20
16193,FEMALE,ISABELLE BEGGS,ALTONA,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1964-05-10
16282,FEMALE,EVIE KIRKHOPE,REIDS FLAT,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,2000-05-11
16716,FEMALE,ABBY FRATER,KAYUGA,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1987-12-16
17412,MALE,MITCHELL KWOK,VICTORIA PARK,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1969-08-31
17811,FEMALE,ALICIA HOY,WATTLE GLEN,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1985-10-15
18067,MALE,RORY KOERSTZ,MOUNT MCKENZIE,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1941-10-26
18263,MALE,CALLUM SEMMENS,RURAL VIEW,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1978-06-01
18309,MALE,MICHAEL VOGT,FYANS CREEK,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1992-01-07
18470,MALE,ZAC PRYOR,GOSFORD,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1969-03-12
18493,MALE,GEORGE KEVIN,TASCOTT,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1994-09-27
18714,MALE,ASHTON AITKEN,PINWERNYING,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1972-08-13
18887,FEMALE,ZARA CASTLETON,BOOROLITE,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1978-11-25
19082,MALE,MATTHEW DENMAN,RANSOME,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1939-04-06
19207,MALE,LUKE CASIMATY,KURRACA,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1991-01-19
19404,MALE,CODY O'HEA,WYNNUM,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1997-06-10
19534,FEMALE,LEAH MARTIN,TOOBORAC,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1964-12-13
19579,FEMALE,AVA REYE,BARCALDINE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1949-10-16
19726,FEMALE,VICTORIA DALY,WATANOBBI,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1973-01-28
19732,FEMALE,OLIVIA MORESBY,WAPPILKA,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1981-08-31
19753,FEMALE,ALYSSA SOLANDER,HOWTH,TAS,TASMANIA,AUSTRALIA,AUSTRALIA,1995-10-21
19916,MALE,HUNTER SAMUEL,LITTLE PLAIN,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1991-05-13
20069,MALE,JESSE PARRY-OKEDEN,GWINDINUP,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1980-11-24
20092,FEMALE,VICTORIA FITZSIMMONS,CAMBRIDGE GARDENS,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1947-05-03
20237,MALE,RILEY MONTEFIORE,WILLIAMSTOWN,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1986-07-14
20623,FEMALE,EVA RENDALL,CARLYLE,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1994-03-11
20802,MALE,BEN WHITWORTH,POLDA,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1945-07-07
20946,FEMALE,TAYLAH WALSTAB,WINTHROP,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1999-11-04
21203,MALE,TRISTAN DOBIE,CHARTWELL,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1960-02-18
21387,MALE,CHRISTIAN HUGHES,CREMORNE,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1970-01-26
21424,MALE,JUSTIN TICKELL,HEYTESBURY LOWER,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1940-07-29
21460,FEMALE,KAYLA DE BEUZEVILLE,GLENLYNN,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1957-11-01
21523,MALE,JAYDEN RENNIE,SWANHAVEN,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1969-12-06
21575,MALE,ZAC CHUMLEIGH,CRAIGIE,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1991-12-29
21654,FEMALE,AMBER MONGER,PARLIAMENT HOUSE,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1950-02-03
21819,FEMALE,MATILDA BLACKLOCK,CLEVELAND,TAS,TASMANIA,AUSTRALIA,AUSTRALIA,2000-06-18
21870,FEMALE,SUMMER GRAMP,BELTANA,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1991-11-23
22158,MALE,WILL PARER,CHURCH POINT,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1996-12-10
22384,MALE,JAXON COX,PEARCE,ACT,AUSTRALIAN CAPITAL TERRITORY,AUSTRALIA,AUSTRALIA,1951-01-24
22540,MALE,CONNOR RUWOLT,BANDYA,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1989-06-12
22775,MALE,FLYNN CAMPION,NEEDLES,TAS,TASMANIA,AUSTRALIA,AUSTRALIA,1958-08-27
22826,MALE,EDWARD PUTILIN,ASHFIELD,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1976-09-25
23128,MALE,ZANE SINCLAIRE,SUMMERLANDS,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,2000-01-02
23203,FEMALE,GEMMA PHILIPP,MADORA BAY,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1998-08-11
23267,FEMALE,GABRIELLE ZINNBAUER,FLINDERS VIEW,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1954-04-18
23320,FEMALE,SAMANTHA WEIGEL,WITTENOOM,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1960-04-15
23431,FEMALE,GRACE SCARF,SHEEP HILLS,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1970-10-27
23599,FEMALE,MADDISON BLANC,FORRESTERS BEACH,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1989-10-12
23854,MALE,ALI WROBLEWSKI,MURRAWOMBIE,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1943-01-02
24069,MALE,EDWARD CARRON,ULMARRA,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1985-05-20
24230,FEMALE,ZOE DADSWELL,DAVOREN PARK SOUTH,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1979-10-26
24575,FEMALE,STELLA O'MAHONY,PLACID HILLS,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,2000-06-07
24920,FEMALE,NATALIE ROBEY,CORNY POINT,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1938-04-17
25308,FEMALE,ANGELINA KATES,WEST WIANGAREE,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1987-03-12
25771,FEMALE,MIKAYLA SHENTON,BOOLCARROLL,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1959-07-26
25864,MALE,ZANE CORKILL,SHIRLEY,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1995-05-05
25935,MALE,CHARLIE D'ARCY,BURNT YARDS,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1975-01-13
26458,MALE,GEORGE CREER,WESTBURY,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1979-04-28
26477,MALE,CALEB WILLSHIRE,MORISSET,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1959-11-05
26642,MALE,NOAH MOLONEY,ELIZABETH BEACH,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1978-09-30
26728,FEMALE,GEMMA ALLAN,MARRICKVILLE SOUTH,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1979-01-18
26906,MALE,XAVIER MCPHEE,CLEMTON PARK,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1974-06-16
26914,FEMALE,AMELIA ENGLAND,MOUNT COTTRELL,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1940-10-10
26970,FEMALE,ROSE FRATER,BENDIGO SOUTH,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1990-11-12
27125,FEMALE,ASHLEY HORNUNG,ARNO BAY,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1976-03-16
27210,MALE,LIAM OSBORN,MOOTAI,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1973-07-02
27356,MALE,HAMISH D'HAGE,TURRAMURRA,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1969-10-02
27432,FEMALE,MIKAYLA FAVENC,CLEVE,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1998-09-26
27492,FEMALE,BIANCA COOMBE,YAMBUK,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1987-11-04
27616,MALE,CAMERON TEBBUTT,BANNOCKBURN,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1987-05-17
27896,MALE,ZACHARY MCLEISH,JACUP,WA,WESTERN AUSTRALIA,AUSTRALIA,AUSTRALIA,1973-10-17
27945,MALE,CHARLIE STRALIA,SOFALA,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1974-05-20
28076,FEMALE,ALANNAH ONUS,AVOCA,TAS,TASMANIA,AUSTRALIA,AUSTRALIA,1979-01-02
28559,MALE,SAMUEL ISRAEL,YILKI,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1968-12-07
28690,MALE,LEO WALCOTT,MILLCHESTER,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1987-09-12
28702,FEMALE,CHARLI LHOTSKY,DREWVALE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1966-06-30
29041,MALE,LOGAN BARLING,LINDENOW,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1937-11-14
29278,MALE,JUSTIN HARTOG,PINEVALE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1990-09-04
29303,MALE,MAX COHN,KIRTON POINT,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1983-05-01
29320,MALE,LEVI BARRACLOUGH,BLACKBUTT,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1938-10-14
29475,FEMALE,MADISON POCOCK,TUROSS,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1965-07-03
29555,MALE,OWEN EDOUARD,GLEN MARTIN,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1992-07-03
29593,MALE,LIAM NETTLETON,BAKARA,SA,SOUTH AUSTRALIA,AUSTRALIA,AUSTRALIA,1995-08-18
29647,FEMALE,JESSICA MAYNARD,BRENDA,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1956-05-28
29689,FEMALE,ALEXIS PHILLIPPS,BURWOOD HEIGHTS,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1966-08-28
29812,MALE,MARCUS NAPIER,ST KILDA ROAD CENTRAL,VIC,VICTORIA,AUSTRALIA,AUSTRALIA,1966-11-19
29837,FEMALE,REBECCA JAQUES,MOUNT GEORGE,NSW,NEW SOUTH WALES,AUSTRALIA,AUSTRALIA,1938-08-14
29973,FEMALE,LAUREN LANGTON,DUCKINWILLA,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1937-09-24
30090,MALE,GEORGE FARRER,PARK AVENUE,QLD,QUEENSLAND,AUSTRALIA,AUSTRALIA,1960-10-07
